link,i,j,k,cost,amplitude,lower_bound,upper_bound
INBOUND.1922-02-28_C18.1922-02-28_0,INBOUND.1922-02-28,C18.1922-02-28,0,-1000000.0,1.0,0.0,28.295
INBOUND.1922-02-28_C18.1922-02-28_1,INBOUND.1922-02-28,C18.1922-02-28,1,0.0,1.0,28.295,28.295
INBOUND.1922-02-28_C18.1922-02-28_2,INBOUND.1922-02-28,C18.1922-02-28,2,1000000.0,1.0,28.295,1000000000000.0
INBOUND.1922-02-28_C19.1922-02-28_0,INBOUND.1922-02-28,C19.1922-02-28,0,-1000000.0,1.0,0.0,7.39
INBOUND.1922-02-28_C19.1922-02-28_1,INBOUND.1922-02-28,C19.1922-02-28,1,0.0,1.0,7.39,7.39
INBOUND.1922-02-28_C19.1922-02-28_2,INBOUND.1922-02-28,C19.1922-02-28,2,1000000.0,1.0,7.39,1000000000000.0
INBOUND.1922-02-28_C67.1922-02-28_0,INBOUND.1922-02-28,C67.1922-02-28,0,-1000000.0,1.0,0.0,1749.542
INBOUND.1922-02-28_C67.1922-02-28_1,INBOUND.1922-02-28,C67.1922-02-28,1,0.0,1.0,1749.542,1749.542
INBOUND.1922-02-28_C67.1922-02-28_2,INBOUND.1922-02-28,C67.1922-02-28,2,1000000.0,1.0,1749.542,1000000000000.0
INBOUND.1922-02-28_D507.1922-02-28_0,INBOUND.1922-02-28,D507.1922-02-28,0,-1000000.0,1.0,0.0,226.192
INBOUND.1922-02-28_D507.1922-02-28_1,INBOUND.1922-02-28,D507.1922-02-28,1,0.0,1.0,226.192,226.192
INBOUND.1922-02-28_D507.1922-02-28_2,INBOUND.1922-02-28,D507.1922-02-28,2,1000000.0,1.0,226.192,1000000000000.0
INBOUND.1922-02-28_D509.1922-02-28_0,INBOUND.1922-02-28,D509.1922-02-28,0,-1000000.0,1.0,0.0,2078.712
INBOUND.1922-02-28_D509.1922-02-28_1,INBOUND.1922-02-28,D509.1922-02-28,1,0.0,1.0,2078.712,2078.712
INBOUND.1922-02-28_D509.1922-02-28_2,INBOUND.1922-02-28,D509.1922-02-28,2,1000000.0,1.0,2078.712,1000000000000.0
INBOUND.1922-02-28_D517.1922-02-28_0,INBOUND.1922-02-28,D517.1922-02-28,0,-1000000.0,1.0,0.0,167.003
INBOUND.1922-02-28_D517.1922-02-28_1,INBOUND.1922-02-28,D517.1922-02-28,1,0.0,1.0,167.003,167.003
INBOUND.1922-02-28_D517.1922-02-28_2,INBOUND.1922-02-28,D517.1922-02-28,2,1000000.0,1.0,167.003,1000000000000.0
INBOUND.1922-02-28_HGR08.1922-02-28_0,INBOUND.1922-02-28,HGR08.1922-02-28,0,-1000000.0,1.0,0.0,0.003
INBOUND.1922-02-28_HGR08.1922-02-28_1,INBOUND.1922-02-28,HGR08.1922-02-28,1,0.0,1.0,0.003,0.003
INBOUND.1922-02-28_HGR08.1922-02-28_2,INBOUND.1922-02-28,HGR08.1922-02-28,2,1000000.0,1.0,0.003,1000000000000.0
INBOUND.1922-02-28_WTP205.1922-02-28_0,INBOUND.1922-02-28,WTP205.1922-02-28,0,-1000000.0,1.0,0.0,10.689
INBOUND.1922-02-28_WTP205.1922-02-28_1,INBOUND.1922-02-28,WTP205.1922-02-28,1,0.0,1.0,10.689,10.689
INBOUND.1922-02-28_WTP205.1922-02-28_2,INBOUND.1922-02-28,WTP205.1922-02-28,2,1000000.0,1.0,10.689,1000000000000.0
INBOUND.1922-02-28_WWP210.1922-02-28_0,INBOUND.1922-02-28,WWP210.1922-02-28,0,-1000000.0,1.0,0.0,3.772
INBOUND.1922-02-28_WWP210.1922-02-28_1,INBOUND.1922-02-28,WWP210.1922-02-28,1,0.0,1.0,3.772,3.772
INBOUND.1922-02-28_WWP210.1922-02-28_2,INBOUND.1922-02-28,WWP210.1922-02-28,2,1000000.0,1.0,3.772,1000000000000.0
INBOUND.1922-03-31_A204.1922-03-31_0,INBOUND.1922-03-31,A204.1922-03-31,0,-1000000.0,1.0,0.0,31.68
INBOUND.1922-03-31_A204.1922-03-31_1,INBOUND.1922-03-31,A204.1922-03-31,1,0.0,1.0,31.68,31.68
INBOUND.1922-03-31_A204.1922-03-31_2,INBOUND.1922-03-31,A204.1922-03-31,2,1000000.0,1.0,31.68,1000000000000.0
INBOUND.1922-03-31_A207.1922-03-31_0,INBOUND.1922-03-31,A207.1922-03-31,0,-1000000.0,1.0,0.0,33.352
INBOUND.1922-03-31_A207.1922-03-31_1,INBOUND.1922-03-31,A207.1922-03-31,1,0.0,1.0,33.352,33.352
INBOUND.1922-03-31_A207.1922-03-31_2,INBOUND.1922-03-31,A207.1922-03-31,2,1000000.0,1.0,33.352,1000000000000.0
INBOUND.1922-03-31_C16.1922-03-31_0,INBOUND.1922-03-31,C16.1922-03-31,0,-1000000.0,1.0,0.0,0.0
INBOUND.1922-03-31_C16.1922-03-31_1,INBOUND.1922-03-31,C16.1922-03-31,1,0.0,1.0,0.0,0.0
INBOUND.1922-03-31_C16.1922-03-31_2,INBOUND.1922-03-31,C16.1922-03-31,2,1000000.0,1.0,0.0,1000000000000.0
INBOUND.1922-03-31_C18.1922-03-31_0,INBOUND.1922-03-31,C18.1922-03-31,0,-1000000.0,1.0,0.0,5.2440000000000015
INBOUND.1922-03-31_C18.1922-03-31_1,INBOUND.1922-03-31,C18.1922-03-31,1,0.0,1.0,5.2440000000000015,5.2440000000000015
INBOUND.1922-03-31_C18.1922-03-31_2,INBOUND.1922-03-31,C18.1922-03-31,2,1000000.0,1.0,5.2440000000000015,1000000000000.0
INBOUND.1922-03-31_C19.1922-03-31_0,INBOUND.1922-03-31,C19.1922-03-31,0,-1000000.0,1.0,0.0,7.39
INBOUND.1922-03-31_C19.1922-03-31_1,INBOUND.1922-03-31,C19.1922-03-31,1,0.0,1.0,7.39,7.39
INBOUND.1922-03-31_C19.1922-03-31_2,INBOUND.1922-03-31,C19.1922-03-31,2,1000000.0,1.0,7.39,1000000000000.0
INBOUND.1922-03-31_C67.1922-03-31_0,INBOUND.1922-03-31,C67.1922-03-31,0,-1000000.0,1.0,0.0,1551.8929999999998
